Date Time Field[G] Current[A] Source Channel
01-06-2022 15-20-05 19998.37 57.1382 "Power supplay" 2
01-06-2022 15-25-03 1.26 0.0036 "Power supplay" 2
01-06-2022 15-25-06 1.26 0.0036 "Power supplay" 2
01-06-2022 15-51-43 -19998.86 -57.1396 "Power supplay" 2
01-06-2022 15-51-46 -19998.86 -57.1396 "Power supplay" 2
01-06-2022 16-24-08 19998.965 57.1399 "Power supplay" 2
01-06-2022 16-24-12 19998.965 57.1399 "Power supplay" 2
01-06-2022 16-40-43 1.155 0.0033 "Power supplay" 2
01-06-2022 16-40-47 1.155 0.0033 "Power supplay" 2
01-06-2022 17-06-32 -9998.975 -28.5685 "Power supplay" 2
01-06-2022 17-06-36 -9998.975 -28.5685 "Power supplay" 2
01-06-2022 17-23-07 9999.115 28.5689 "Power supplay" 2
01-06-2022 17-23-11 9999.115 28.5689 "Power supplay" 2
01-06-2022 17-39-43 -9998.87 -28.5682 "Power supplay" 2
01-06-2022 17-39-46 -9998.87 -28.5682 "Power supplay" 2
01-06-2022 17-56-15 9998.73 28.5678 "Power supplay" 2
01-06-2022 17-56-19 9998.73 28.5678 "Power supplay" 2
01-06-2022 18-12-49 -9998.8 -28.568 "Power supplay" 2
01-06-2022 18-12-52 -9998.8 -28.568 "Power supplay" 2
01-06-2022 18-29-23 9998.8 28.568 "Power supplay" 2
01-06-2022 18-29-26 9998.8 28.568 "Power supplay" 2
01-06-2022 18-38-03 0.98 0.0028 "Power supplay" 2
01-06-2022 18-38-06 0.98 0.0028 "Power supplay" 2
01-06-2022 19-15-03 10769.465 30.7699 "Power supplay" 1
01-06-2022 19-26-50 0 0 "Power supplay" 1
01-06-2022 20-39-37 198.9 0.306 "Power supplay" 2
01-06-2022 20-40-34 1.235 0.0019 "Power supplay" 2
01-06-2022 20-46-26 201.88 0.5768 "Power supplay" 1
01-06-2022 20-49-11 2000.53 5.7158 "Power supplay" 1
01-06-2022 21-03-19 19998.545 57.1387 "Power supplay" 1
01-06-2022 21-03-22 19998.545 57.1387 "Power supplay" 1
01-06-2022 21-21-14 0 0 "Power supplay" 1
